file,bpm,key,tag_written,error
J Dilla (2006) HHIR - Donuts [The Samples]/19 Lou Rawls - Season of the Witch.mp3,172.3,F,True,
J Dilla (2006) HHIR - Donuts [The Samples]/40 The Weinberg Method - Animosity.mp3,117.5,Bb,True,
J Dilla (2006) HHIR - Donuts [The Samples]/39 The Undisputed Truth - Walk on By.mp3,80.7,Cm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/15 Run-D.M.C. - Here We Go (Live at The Funhouse).mp3,103.4,Am,True,
J Dilla (2006) HHIR - Donuts [The Samples]/13 Jadakiss - Why (Acapella).mp3,112.3,Em,True,
J Dilla (2006) HHIR - Donuts [The Samples]/29 Joeski Love - Pee-Wee's Dance.mp3,89.1,F#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/33 Tin Tin - Family Tree.mp3,161.5,Dm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/28 Fred Frith - Kick the Can (Part 1).mp3,184.6,Cm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/35 ESG - UFO.mp3,143.6,C#m,True,
J Dilla (2006) HHIR - Donuts [The Samples]/14 Eddie Kendricks - My People...Hold On.mp3,143.6,A,True,
J Dilla (2006) HHIR - Donuts [The Samples]/11 Detroit Emeralds - Whatcha Gonna Wear Tomorrow.mp3,152.0,F,True,
J Dilla (2006) HHIR - Donuts [The Samples]/46 Motherlode - When I Die.mp3,89.1,Am,True,
J Dilla (2006) HHIR - Donuts [The Samples]/05 Raymond Scott - Sprite Melonball Bounce.mp3,103.4,Ab,True,
J Dilla (2006) HHIR - Donuts [The Samples]/32 The Escorts - I Can't Stand (To See You Cry).mp3,143.6,E,True,
J Dilla (2006) HHIR - Donuts [The Samples]/16 Kool & The Gang - Fruitman.mp3,95.7,Gm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/41 Jerry Butler - Just Because I Really Love You.mp3,143.6,Bb,True,
J Dilla (2006) HHIR - Donuts [The Samples]/23 Raymond Scott - Bendix The Tomorrow People.mp3,161.5,Bbm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/21 Gene Chandler & Jerry Butler - You Just Can't Win (By Makin' the Same Mistake).mp3,112.3,Cm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/25 Mountain - Long Red (Live).mp3,92.3,Cm,True,
J Dilla (2006) HHIR - Donuts [The Samples]/26 Stevie Wonder - For Once in My Life.mp3,107.7,G,True,
J Dilla (2006) HHIR - Donuts [The Samples]/09 Africa - Light My Fire.mp3,99.4,Am,True,
J Dilla (2006) HHIR - Donuts [The Samples]/24 Raymond Scott - Lightworks.mp3,112.3,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/13 - J's On My Feet (prod. EZ Mac).mp3,152.0,G,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/21 - Keep It Rollin' (prod. EZ Mac).mp3,123.0,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/05 - What Up Cousin (R.I.P. Nick).mp3,161.5,F#,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/08 - Late Night (prod. EZ Mac).mp3,172.3,C#m,True,
"MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/14 - On Some Real Shit (100,000 Bar.mp3",89.1,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/06 - Got A Clue.mp3,95.7,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/16 - A Night In The Studio.mp3,89.1,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/09 - Cruisin' (prod. Soul Theory).mp3,161.5,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/17 - My Lady (prod. Buscrates 16 Bi.mp3,89.1,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/03 - Barz 4 Dayz (prod. Soul Theory.mp3,83.4,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/18 - Comin Soon' (feat. John Record.mp3,92.3,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/02 - Sound Like (prod. EZ Mac).mp3,123.0,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/10 - Swing Set.mp3,152.0,A,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/01 - Intro.mp3,129.2,G#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/11 - Love My Name (feat. John Recor.mp3,92.3,D#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/20 - So Far To Go.mp3,89.1,Am,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/04 - PA Hustla (prod. Johhny Julian.mp3,76.0,C,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/07 - Get It On The Floor.mp3,95.7,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/15 - The Chow Line (feat. Beedie &.mp3,152.0,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/12 - Snap Back.mp3,95.7,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/19 - Keep Me Alive (prod. Roscoe Wi.mp3,152.0,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/14 - Kool Aid & Frozen Pizza.mp3,89.1,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/01 - Kickin' Incredibly Dope Shit (Intro).mp3,152.0,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/09 - Paper Route feat. Chevy Woods.mp3,161.5,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/11 - Ride Around.mp3,83.4,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/15 - All I Want Is You.mp3,83.4,E,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/04 - Nikes On My Feet.mp3,92.3,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/06 - The Spins.mp3,129.2,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/17 - Face In The Crowd.mp3,99.4,Gm,True,
"MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/13 - Mad Flava, Heavy Flow (Interlude) feat. DJ Bonics.mp3",95.7,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/02 - Outside.mp3,161.5,F,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/07 - Traffic In The Sky.mp3,89.1,Bb,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/12 - Knock Knock.mp3,107.7,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/05 - Senior Skip Day.mp3,107.7,A,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/08 - Don't Mind If I Do.mp3,103.4,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/03 - Get Em Up.mp3,86.1,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/16 - Poppy.mp3,95.7,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/10 - Good Evening.mp3,89.1,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/08 Say Goodnight Freestyle (feat..mp3,184.6,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/06 Open Ya Eyes (feat. Plain Engl.mp3,92.3,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/09 Whatup Dilla.mp3,95.7,G#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/02 How Sick Am I (prod. Ben Bradl.mp3,99.4,Am,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/17 The Ill Children (feat. Lip Th.mp3,89.1,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/10 What It Is (feat. Franchise) (.mp3,86.1,D#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/20 The Outro (prod. J. Glaze).mp3,184.6,B,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/15 Like Aaay! (prod. Anwar).mp3,92.3,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/13 Same Old Shit (feat. Plain Eng.mp3,92.3,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/03 Do It Again (prod. DJ Osk).mp3,89.1,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/12 Child's Play Freestyle (feat..mp3,172.3,Em,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/11 The Hold Up.mp3,92.3,D#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/14 The Real (prod. Buscrates 16 B.mp3,95.7,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/07 Tryna Get Blazed.mp3,86.1,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/19 Gotcha Opin.mp3,92.3,Gm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/05 I Am Legend (feat. John Record.mp3,92.3,Em,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/01 How High (Intro) (prod. Man Ma.mp3,89.1,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/18 Ain't I Freestyle (feat. Big W.mp3,117.5,D#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/16 Know Bout That (prod. OJ Loopz.mp3,92.3,Em,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/22 Cruisin' (prod. Soul T.mp3,161.5,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/21 Instant Replay (prod..mp3,89.1,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2008] The Ill Spoken How High The Mixtape (Mixtape)/04 Bring It On (feat. Wild Bill).mp3,92.3,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/15 - Word Game (U-Strem Freestyle From 2008).mp3,86.1,D#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/05 - Girls In The Palm Of My Hand (Prod. by Johnny Juliano) (World Wide Exclusive).mp3,117.5,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/09 - The Stick Up (World Wide Exclusive).mp3,80.7,F,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/14 - Radio Freestyle (First Radio Freestyle EVER!) (RARE!).mp3,161.5,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/10 - The Introduction (World Wide Exclusive).mp3,89.1,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/04 - No Hook (World Wide Exclusive).mp3,92.3,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/06 - Mac Miller ft. Ghosty - La Familia (World Wide Exclusive).mp3,161.5,F,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/01 - Mac Miller ft. Beedie - Dj CapCom (Freestyle) (World Wide Exclusive).mp3,95.7,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/02 - Stop Bitchin (Prod. by Big Jerm) (Full Version) (RARE Unreleased).mp3,172.3,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/07 - Mac Miller ft. Ghosty - Born On Halloween (World Wide Exclusive).mp3,152.0,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/13 - Mac Miller ft. Beedie & Jimmie Hoffa - Cartel Gathering (RARE Unreleased).mp3,95.7,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/11 - Successful (World Wide Exclusive).mp3,107.7,Fm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/08 - When The Money Comin Slow (Prod. by Rod Da Blizz) (World Wide Exclusive).mp3,83.4,Am,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/12 - Mac Miller ft. Jimmie Hoffa - On My Grind (RARE Unrelased).mp3,123.0,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Black Friday (Mixtape)/03 - What If  (Prod. by James Moore) (World Wide Exclusive).mp3,89.1,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/02 - Desperado (prod. ID Labs).mp3,89.1,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/05 - Aliens Fighting Robots (feat. Sir Michael Rocks) (prod. Brandun Deshay).mp3,143.6,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/09 - The Mourning After (prod. Two Fresh).mp3,161.5,Bb,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/08 - Lucky Ass Bitch (feat. Juicy J) (prod. Lex Luger).mp3,73.8,G#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/07 - Fight The Feeling (feat. Kendrick Lamar & Iman Omari) (prod. Iman Omari).mp3,143.6,Eb,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/15 - Clarity (prod. ID Labs & Ritz Reynolds).mp3,161.5,E,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/13 - Angels (When She Shuts Her Eyes) (prod. Clams Casino).mp3,136.0,Db,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/01 - Love Me As I Have Loved You (prod. Ritz Reynolds).mp3,83.4,C,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/17 - Fuck 'Em All (prod. ID Labs).mp3,152.0,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/11 - Ignorant (feat. Cam'ron) (prod. Cardo).mp3,136.0,C#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/16 - America (feat. Casey Veggies & Joey Bada$$) (prod. Hannibal King).mp3,89.1,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/10 - 1 Threw 8 (prod. Black Diamond).mp3,161.5,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/12 - The Question (feat. Lil Wayne) (prod. Wally West & ID Labs).mp3,136.0,Dm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/03 - Loud (prod. ID Labs).mp3,143.6,Em,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/14 - Sunlight (feat. Iman Omari) (prod. Teddy Roxpin).mp3,184.6,G#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/04 - Thoughts From A Balcony (prod. Sap).mp3,89.1,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/Mac Miller - Macadelic Mixtape/06 - Vitamins (prod. ID Labs).mp3,143.6,Eb,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/06 - Wear My Hat Prod By  Chuck Inglish.mp3,152.0,Bm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/11 - Play Ya Cards Right (Prod. By  Chuck Inglish).mp3,107.7,Cm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/13 - Life Aint Easy (Prod. By  ID Labs).mp3,95.7,F,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/03 - Donald Trump Prod By  Sap.mp3,161.5,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/15 - Keep Floatin (feat. Wiz Khalifa) (Prod. By  ID Lab.mp3,143.6,C,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/05 - Ill Be There feat Phonte Prod By  Beanz n.mp3,161.5,E,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/04 - Oy Vey Prod By  ID Labs.mp3,152.0,Em,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/09 - Down The Rabbit Hole (Prod. By  Blue of The Sore L.mp3,143.6,D#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/08 - All Around The World (Prod. By  Just Blaze).mp3,152.0,F#m,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/16 - BDE Bonus (Prod. By  ID Labs).mp3,184.6,Eb,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/01 - Best Day Ever Prod By  ID Labs.mp3,89.1,Eb,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/07 - Wake Up Prod By  Sap  ID Labs.mp3,107.7,Bbm,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2011] Best Day Ever (Mixtape)/10 - In The Air (Prod. By  Ritz Reynolds).mp3,143.6,A,True,
